PassengerId,Survived,Pclass,Age,Sex_male,Embarked_Q,Embarked_S,SibSp_bin_One,SibSp_bin_Many,Parch_bin_One_Or_Two,Parch_bin_Many
1,0,3.0,22.0,1.0,0.0,1.0,1,0,0,0
2,1,1.0,38.0,0.0,0.0,0.0,1,0,0,0
3,1,3.0,26.0,0.0,0.0,1.0,0,0,0,0
4,1,1.0,35.0,0.0,0.0,1.0,1,0,0,0
5,0,3.0,35.0,1.0,0.0,1.0,0,0,0,0
6,0,3.0,30.12237831614551,1.0,1.0,0.0,0,0,0,0
7,0,1.0,54.0,1.0,0.0,1.0,0,0,0,0
8,0,3.0,2.0,1.0,0.0,1.0,0,1,1,0
9,1,3.0,27.0,0.0,0.0,1.0,0,0,1,0
10,1,2.0,14.0,0.0,0.0,0.0,1,0,0,0
11,1,3.0,4.0,0.0,0.0,1.0,1,0,1,0
12,1,1.0,58.0,0.0,0.0,1.0,0,0,0,0
13,0,3.0,20.0,1.0,0.0,1.0,0,0,0,0
14,0,3.0,39.0,1.0,0.0,1.0,1,0,0,1
15,0,3.0,14.0,0.0,0.0,1.0,0,0,0,0
16,1,2.0,55.0,0.0,0.0,1.0,0,0,0,0
17,0,3.0,2.0,1.0,1.0,0.0,0,1,1,0
18,1,2.0,33.05916413062174,1.0,0.0,1.0,0,0,0,0
19,0,3.0,31.0,0.0,0.0,1.0,1,0,0,0
20,1,3.0,26.92726851426049,0.0,0.0,0.0,0,0,0,0
21,0,2.0,35.0,1.0,0.0,1.0,0,0,0,0
22,1,2.0,34.0,1.0,0.0,1.0,0,0,0,0
23,1,3.0,15.0,0.0,1.0,0.0,0,0,0,0
24,1,1.0,28.0,1.0,0.0,1.0,0,0,0,0
25,0,3.0,8.0,0.0,0.0,1.0,0,1,1,0
26,1,3.0,38.0,0.0,0.0,1.0,1,0,0,1
27,0,3.0,26.086000598092692,1.0,0.0,0.0,0,0,0,0
28,0,1.0,19.0,1.0,0.0,1.0,0,1,1,0
29,1,3.0,26.700637029371205,0.0,1.0,0.0,0,0,0,0
30,0,3.0,30.759550322631075,1.0,0.0,1.0,0,0,0,0
31,0,1.0,40.0,1.0,0.0,0.0,0,0,0,0
32,1,1.0,40.26915519276137,0.0,0.0,0.0,1,0,0,0
33,1,3.0,24.051966322640656,0.0,1.0,0.0,0,0,0,0
34,0,2.0,66.0,1.0,0.0,1.0,0,0,0,0
35,0,1.0,28.0,1.0,0.0,0.0,1,0,0,0
36,0,1.0,42.0,1.0,0.0,1.0,1,0,0,0
37,1,3.0,29.382903446781196,1.0,0.0,0.0,0,0,0,0
38,0,3.0,21.0,1.0,0.0,1.0,0,0,0,0
39,0,3.0,18.0,0.0,0.0,1.0,0,1,0,0
40,1,3.0,14.0,0.0,0.0,0.0,1,0,0,0
41,0,3.0,40.0,0.0,0.0,1.0,1,0,0,0
42,0,2.0,27.0,0.0,0.0,1.0,1,0,0,0
43,0,3.0,27.315586253509412,1.0,0.0,0.0,0,0,0,0
44,1,2.0,3.0,0.0,0.0,0.0,1,0,1,0
45,1,3.0,19.0,0.0,1.0,0.0,0,0,0,0
46,0,3.0,27.99976552085064,1.0,0.0,1.0,0,0,0,0
47,0,3.0,24.36801702925957,1.0,1.0,0.0,1,0,0,0
48,1,3.0,27.199181076822473,0.0,1.0,0.0,0,0,0,0
49,0,3.0,23.68794572742258,1.0,0.0,0.0,0,1,0,0
50,0,3.0,18.0,0.0,0.0,1.0,1,0,0,0
51,0,3.0,7.0,1.0,0.0,1.0,0,1,1,0
52,0,3.0,21.0,1.0,0.0,1.0,0,0,0,0
53,1,1.0,49.0,0.0,0.0,0.0,1,0,0,0
54,1,2.0,29.0,0.0,0.0,1.0,1,0,0,0
55,0,1.0,65.0,1.0,0.0,0.0,0,0,1,0
56,1,1.0,39.61880601318854,1.0,0.0,1.0,0,0,0,0
57,1,2.0,21.0,0.0,0.0,1.0,0,0,0,0
58,0,3.0,28.5,1.0,0.0,0.0,0,0,0,0
59,1,2.0,5.0,0.0,0.0,1.0,1,0,1,0
60,0,3.0,11.0,1.0,0.0,1.0,0,1,1,0
61,0,3.0,22.0,1.0,0.0,0.0,0,0,0,0
62,1,1.0,38.0,0.0,0.0,1.0,0,0,0,0
63,0,1.0,45.0,1.0,0.0,1.0,1,0,0,0
64,0,3.0,4.0,1.0,0.0,1.0,0,1,1,0
65,0,1.0,37.381299702974886,1.0,0.0,0.0,0,0,0,0
66,1,3.0,19.969489212461532,1.0,0.0,0.0,1,0,1,0
67,1,2.0,29.0,0.0,0.0,1.0,0,0,0,0
68,0,3.0,19.0,1.0,0.0,1.0,0,0,0,0
69,1,3.0,17.0,0.0,0.0,1.0,0,1,1,0
70,0,3.0,26.0,1.0,0.0,1.0,0,1,0,0
71,0,2.0,32.0,1.0,0.0,1.0,0,0,0,0
72,0,3.0,16.0,0.0,0.0,1.0,0,1,1,0
73,0,2.0,21.0,1.0,0.0,1.0,0,0,0,0
74,0,3.0,26.0,1.0,0.0,0.0,1,0,0,0
75,1,3.0,32.0,1.0,0.0,1.0,0,0,0,0
76,0,3.0,25.0,1.0,0.0,1.0,0,0,0,0
77,0,3.0,29.137572140770654,1.0,0.0,1.0,0,0,0,0
78,0,3.0,27.28648513225402,1.0,0.0,1.0,0,0,0,0
79,1,2.0,0.83,1.0,0.0,1.0,0,0,1,0
80,1,3.0,30.0,0.0,0.0,1.0,0,0,0,0
81,0,3.0,22.0,1.0,0.0,1.0,0,0,0,0
82,1,3.0,29.0,1.0,0.0,1.0,0,0,0,0
83,1,3.0,28.659159842982508,0.0,1.0,0.0,0,0,0,0
84,0,1.0,28.0,1.0,0.0,1.0,0,0,0,0
85,1,2.0,17.0,0.0,0.0,1.0,0,0,0,0
